lambda      alk
1.04007e+00 3.70056e+00
1.04134e+00 3.69186e+00
1.04261e+00 3.68319e+00
1.04389e+00 3.67455e+00
1.04516e+00 3.66594e+00
1.04644e+00 3.65735e+00
1.04772e+00 3.64879e+00
1.04900e+00 3.64026e+00
1.05028e+00 3.63176e+00
1.05156e+00 3.62328e+00
1.05285e+00 3.61484e+00
1.05413e+00 3.60642e+00
1.05542e+00 3.59803e+00
1.05671e+00 3.58966e+00
1.05800e+00 3.58133e+00
1.05929e+00 3.57302e+00
1.06059e+00 3.56474e+00
1.06188e+00 3.55649e+00
1.06318e+00 3.54826e+00
1.06448e+00 3.54006e+00
1.06578e+00 3.53189e+00
1.06708e+00 3.52375e+00
1.06838e+00 3.51563e+00
1.06969e+00 3.50754e+00
1.07099e+00 3.49948e+00
1.07230e+00 3.49144e+00
1.07361e+00 3.48343e+00
1.07492e+00 3.47545e+00
1.07624e+00 3.46749e+00
1.07755e+00 3.45956e+00
1.07887e+00 3.45166e+00
1.08019e+00 3.44378e+00
1.08151e+00 3.43593e+00
1.08283e+00 3.42811e+00
1.08415e+00 3.42031e+00
1.08547e+00 3.41254e+00
1.08680e+00 3.40479e+00
1.08813e+00 3.39707e+00
1.08946e+00 3.38937e+00
1.09079e+00 3.38170e+00
1.09212e+00 3.37406e+00
1.09345e+00 3.36644e+00
1.09479e+00 3.35885e+00
1.09613e+00 3.35128e+00
1.09746e+00 3.34374e+00
1.09881e+00 3.33622e+00
1.10015e+00 3.32872e+00
1.10149e+00 3.32125e+00
1.10284e+00 3.31381e+00
1.10418e+00 3.30639e+00
1.10553e+00 3.29900e+00
1.10688e+00 3.29162e+00
1.10823e+00 3.28428e+00
1.10959e+00 3.27695e+00
1.11094e+00 3.26966e+00
1.11230e+00 3.26238e+00
1.11366e+00 3.25513e+00
1.11502e+00 3.24790e+00
1.11638e+00 3.24070e+00
1.11775e+00 3.23352e+00
1.11911e+00 3.22636e+00
1.12048e+00 3.21923e+00
1.12185e+00 3.21212e+00
1.12322e+00 3.20503e+00
1.12459e+00 3.19796e+00
1.12596e+00 3.19092e+00
1.12734e+00 3.18390e+00
1.12871e+00 3.17690e+00
1.13009e+00 3.16992e+00
1.13147e+00 3.16297e+00
1.13286e+00 3.15604e+00
1.13424e+00 3.14913e+00
1.13562e+00 3.14224e+00
1.13701e+00 3.13537e+00
1.13840e+00 3.12853e+00
1.13979e+00 3.12170e+00
1.14118e+00 3.11490e+00
1.14258e+00 3.10812e+00
1.14397e+00 3.10135e+00
1.14537e+00 3.09461e+00
1.14677e+00 3.08789e+00
1.14817e+00 3.08119e+00
1.14957e+00 3.07451e+00
1.15098e+00 3.06785e+00
1.15238e+00 3.06121e+00
1.15379e+00 3.05459e+00
1.15520e+00 3.04799e+00
1.15661e+00 3.04141e+00
1.15802e+00 3.03485e+00
1.15944e+00 3.02830e+00
1.16085e+00 3.02178e+00
1.16227e+00 3.01527e+00
1.16369e+00 3.00879e+00
1.16511e+00 3.00232e+00
1.16654e+00 2.99587e+00
1.16796e+00 2.98943e+00
1.16939e+00 2.98302e+00
1.17082e+00 2.97662e+00
1.17225e+00 2.97024e+00
1.17368e+00 2.96388e+00
1.17511e+00 2.95753e+00
1.17655e+00 2.95120e+00
1.17798e+00 2.94489e+00
1.17942e+00 2.93860e+00
